dep;jour;P;T;cl_age90
01;2020-05-25;0;51;59
01;2020-05-25;1;59;69
01;2020-05-25;0;47;79
01;2020-05-25;0;24;89
01;2020-05-25;1;10;90
01;2020-05-25;3;387;0
01;2020-05-26;0;20;09
01;2020-05-26;0;38;19
01;2020-05-26;0;45;29
01;2020-05-26;0;62;39
01;2020-05-26;0;64;49
01;2020-05-26;0;59;59
01;2020-05-26;0;41;69
01;2020-05-26;1;62;79
01;2020-05-26;1;66;89
01;2020-05-26;0;47;90
01;2020-05-26;2;504;0
01;2020-05-27;0;28;09
01;2020-05-27;0;32;19
01;2020-05-27;0;46;29
01;2020-05-27;0;49;39
01;2020-05-27;1;41;49
01;2020-05-27;1;39;59
01;2020-05-27;1;51;69
01;2020-05-27;0;22;79
01;2020-05-27;0;24;89
01;2020-05-27;1;8;90
01;2020-05-27;4;340;0
01;2020-05-28;0;22;09
01;2020-05-28;0;28;19
01;2020-05-28;0;43;29
01;2020-05-28;1;44;39
01;2020-05-28;0;41;49
01;2020-05-28;0;47;59
01;2020-05-28;0;36;69
01;2020-05-28;0;40;79
01;2020-05-28;0;27;89
01;2020-05-28;0;23;90
01;2020-05-28;1;351;0
01;2020-05-29;0;33;09
01;2020-05-29;2;26;19
01;2020-05-29;0;33;29
01;2020-05-29;0;42;39
01;2020-05-29;0;33;49
01;2020-05-29;0;39;59
01;2020-05-29;0;37;69
01;2020-05-29;0;38;79
01;2020-05-29;2;20;89
01;2020-05-29;2;13;90
01;2020-05-29;6;314;0
01;2020-05-30;0;25;09
01;2020-05-30;0;15;19
01;2020-05-30;0;21;29
01;2020-05-30;0;20;39
01;2020-05-30;1;26;49
01;2020-05-30;0;16;59
01;2020-05-30;0;20;69
01;2020-05-30;1;17;79
01;2020-05-30;0;14;89
01;2020-05-30;0;5;90
01;2020-05-30;2;179;0
01;2020-05-31;0;2;09
01;2020-05-31;0;1;19
01;2020-05-31;0;0;29
01;2020-05-31;0;3;39
01;2020-05-31;0;3;49
01;2020-05-31;0;7;59
01;2020-05-31;0;3;69
01;2020-05-31;0;4;79
01;2020-05-31;0;9;89
01;2020-05-31;1;2;90
01;2020-05-31;1;34;0
01;2020-06-01;0;4;09
01;2020-06-01;0;2;19
01;2020-06-01;0;4;29
01;2020-06-01;0;14;39
01;2020-06-01;0;5;49
01;2020-06-01;0;5;59
01;2020-06-01;0;4;69
01;2020-06-01;0;11;79
01;2020-06-01;1;10;89
01;2020-06-01;3;5;90
01;2020-06-01;4;64;0
01;2020-06-02;0;20;09
01;2020-06-02;0;46;19
01;2020-06-02;0;47;29
01;2020-06-02;0;43;39
01;2020-06-02;0;42;49
01;2020-06-02;0;61;59
01;2020-06-02;0;43;69
01;2020-06-02;0;39;79
01;2020-06-02;1;32;89
01;2020-06-02;2;14;90
01;2020-06-02;3;387;0
01;2020-06-03;0;18;09
01;2020-06-03;0;25;19
01;2020-06-03;1;50;29
01;2020-06-03;1;30;39
01;2020-06-03;0;37;49
01;2020-06-03;0;41;59
01;2020-06-03;0;37;69
01;2020-06-03;0;20;79
01;2020-06-03;0;21;89
01;2020-06-03;0;6;90
01;2020-06-03;2;285;0
01;2020-06-04;0;20;09
01;2020-06-04;0;28;19
01;2020-06-04;0;46;29
01;2020-06-04;0;34;39
01;2020-06-04;0;53;49
01;2020-06-04;0;54;59
01;2020-06-04;0;34;69
01;2020-06-04;0;29;79
01;2020-06-04;0;23;89
01;2020-06-04;0;14;90
01;2020-06-04;0;335;0
01;2020-06-05;0;17;09
01;2020-06-05;0;24;19
01;2020-06-05;0;27;29
01;2020-06-05;1;38;39
01;2020-06-05;0;38;49
01;2020-06-05;0;49;59
01;2020-06-05;2;36;69
01;2020-06-05;0;34;79
01;2020-06-05;2;32;89
01;2020-06-05;0;18;90
01;2020-06-05;5;313;0
01;2020-06-06;0;9;09
01;2020-06-06;0;15;19
01;2020-06-06;1;24;29
01;2020-06-06;0;24;39
01;2020-06-06;2;18;49
01;2020-06-06;0;23;59
01;2020-06-06;0;11;69
01;2020-06-06;0;10;79
01;2020-06-06;0;12;89
01;2020-06-06;0;6;90
01;2020-06-06;3;152;0
01;2020-06-07;0;1;09
01;2020-06-07;0;1;19
01;2020-06-07;0;1;29
01;2020-06-07;0;6;39
01;2020-06-07;0;5;49
01;2020-06-07;0;6;59
01;2020-06-07;0;9;69
01;2020-06-07;0;7;79
01;2020-06-07;1;6;89
01;2020-06-07;0;1;90
01;2020-06-07;1;43;0
01;2020-06-08;0;28;09
01;2020-06-08;0;28;19
01;2020-06-08;0;39;29
01;2020-06-08;0;45;39
01;2020-06-08;0;36;49
01;2020-06-08;0;47;59
01;2020-06-08;0;29;69
01;2020-06-08;0;35;79
01;2020-06-08;0;31;89
01;2020-06-08;0;10;90
01;2020-06-08;0;328;0
01;2020-06-09;0;24;09
01;2020-06-09;0;19;19
01;2020-06-09;0;31;29
01;2020-06-09;0;28;39
01;2020-06-09;1;40;49
01;2020-06-09;0;33;59
01;2020-06-09;0;25;69
01;2020-06-09;0;31;79
01;2020-06-09;0;20;89
01;2020-06-09;0;12;90
01;2020-06-09;1;263;0
01;2020-06-10;0;16;09
01;2020-06-10;0;17;19
01;2020-06-10;0;45;29
01;2020-06-10;0;51;39
01;2020-06-10;0;31;49
01;2020-06-10;0;43;59
01;2020-06-10;0;32;69
01;2020-06-10;0;22;79
01;2020-06-10;0;28;89
01;2020-06-10;1;24;90
01;2020-06-10;1;309;0
01;2020-06-11;0;18;09
01;2020-06-11;2;20;19
01;2020-06-11;2;26;29
01;2020-06-11;0;31;39
01;2020-06-11;1;29;49
01;2020-06-11;0;21;59
01;2020-06-11;3;35;69
01;2020-06-11;0;27;79
01;2020-06-11;0;22;89
01;2020-06-11;0;8;90
01;2020-06-11;8;237;0
01;2020-06-12;0;26;09
01;2020-06-12;1;34;19
01;2020-06-12;2;29;29
01;2020-06-12;0;41;39
01;2020-06-12;1;50;49
01;2020-06-12;0;42;59
01;2020-06-12;0;32;69
01;2020-06-12;0;22;79
01;2020-06-12;0;24;89
01;2020-06-12;0;9;90
01;2020-06-12;4;309;0
01;2020-06-13;0;8;09
01;2020-06-13;0;12;19
01;2020-06-13;0;15;29
01;2020-06-13;0;17;39
01;2020-06-13;0;18;49
01;2020-06-13;0;14;59
01;2020-06-13;0;21;69
01;2020-06-13;0;15;79
01;2020-06-13;0;13;89
01;2020-06-13;0;6;90
01;2020-06-13;0;139;0
01;2020-06-14;0;3;09
01;2020-06-14;0;2;19
01;2020-06-14;0;2;29
01;2020-06-14;0;1;39
01;2020-06-14;0;5;49
01;2020-06-14;1;8;59
01;2020-06-14;0;6;69
01;2020-06-14;0;8;79
01;2020-06-14;0;4;89
01;2020-06-14;0;7;90
01;2020-06-14;1;46;0
01;2020-06-15;0;25;09
01;2020-06-15;0;23;19
01;2020-06-15;0;35;29
01;2020-06-15;0;41;39
01;2020-06-15;0;44;49
01;2020-06-15;0;39;59
01;2020-06-15;0;37;69
01;2020-06-15;0;38;79
01;2020-06-15;0;31;89
01;2020-06-15;0;10;90
01;2020-06-15;0;323;0
01;2020-06-16;0;20;09
01;2020-06-16;1;27;19
01;2020-06-16;1;41;29
01;2020-06-16;0;35;39
01;2020-06-16;0;29;49
01;2020-06-16;0;41;59
01;2020-06-16;0;25;69
01;2020-06-16;0;30;79
01;2020-06-16;1;27;89
01;2020-06-16;0;5;90
01;2020-06-16;3;280;0
01;2020-06-17;0;28;09
01;2020-06-17;0;15;19
01;2020-06-17;0;43;29
01;2020-06-17;2;27;39
01;2020-06-17;1;28;49
01;2020-06-17;0;48;59
01;2020-06-17;0;29;69
01;2020-06-17;0;28;79
01;2020-06-17;0;32;89
01;2020-06-17;2;19;90
01;2020-06-17;5;297;0
01;2020-06-18;1;12;09
01;2020-06-18;0;22;19
01;2020-06-18;1;29;29
01;2020-06-18;2;28;39
01;2020-06-18;0;39;49
01;2020-06-18;0;42;59
01;2020-06-18;0;21;69
01;2020-06-18;0;32;79
01;2020-06-18;0;18;89
01;2020-06-18;0;7;90
01;2020-06-18;4;250;0
01;2020-06-19;0;15;09
01;2020-06-19;0;28;19
01;2020-06-19;0;27;29
01;2020-06-19;1;35;39
01;2020-06-19;0;32;49
01;2020-06-19;0;40;59
01;2020-06-19;1;34;69
01;2020-06-19;0;37;79
01;2020-06-19;1;26;89
01;2020-06-19;0;11;90
01;2020-06-19;3;285;0
01;2020-06-20;0;14;09
01;2020-06-20;0;13;19
01;2020-06-20;0;11;29
01;2020-06-20;0;21;39
01;2020-06-20;1;24;49
01;2020-06-20;1;19;59
01;2020-06-20;0;31;69
01;2020-06-20;1;17;79
01;2020-06-20;0;10;89
01;2020-06-20;0;8;90
01;2020-06-20;3;168;0
01;2020-06-21;0;1;09
01;2020-06-21;0;1;19
01;2020-06-21;0;1;29
01;2020-06-21;0;3;39
01;2020-06-21;0;1;49
01;2020-06-21;0;4;59
01;2020-06-21;0;8;69
01;2020-06-21;0;5;79
01;2020-06-21;0;3;89
01;2020-06-21;0;2;90
01;2020-06-21;0;29;0
01;2020-06-22;0;37;09
01;2020-06-22;2;46;19
01;2020-06-22;0;38;29
01;2020-06-22;0;63;39
01;2020-06-22;1;59;49
01;2020-06-22;1;58;59
01;2020-06-22;0;54;69
01;2020-06-22;0;44;79
01;2020-06-22;1;32;89
01;2020-06-22;0;13;90
01;2020-06-22;5;444;0
01;2020-06-23;1;26;09
01;2020-06-23;1;29;19
01;2020-06-23;3;44;29
01;2020-06-23;0;37;39
01;2020-06-23;0;50;49
01;2020-06-23;2;52;59
01;2020-06-23;0;41;69
01;2020-06-23;1;32;79
01;2020-06-23;2;33;89
01;2020-06-23;0;8;90
01;2020-06-23;10;352;0
01;2020-06-24;0;24;09
01;2020-06-24;0;31;19
01;2020-06-24;1;27;29
01;2020-06-24;0;41;39
01;2020-06-24;1;39;49
01;2020-06-24;0;37;59
01;2020-06-24;0;27;69
01;2020-06-24;0;32;79
01;2020-06-24;0;40;89
01;2020-06-24;0;14;90
01;2020-06-24;2;312;0
01;2020-06-25;0;22;09
01;2020-06-25;0;24;19
01;2020-06-25;3;41;29
01;2020-06-25;0;35;39
01;2020-06-25;0;39;49
01;2020-06-25;0;21;59
01;2020-06-25;0;30;69
01;2020-06-25;1;27;79
01;2020-06-25;1;35;89
01;2020-06-25;0;23;90
01;2020-06-25;5;297;0
01;2020-06-26;0;74;09
01;2020-06-26;3;49;19
01;2020-06-26;0;39;29
01;2020-06-26;1;57;39
01;2020-06-26;2;36;49
01;2020-06-26;1;59;59
01;2020-06-26;0;39;69
01;2020-06-26;0;32;79
01;2020-06-26;0;29;89
01;2020-06-26;1;16;90
01;2020-06-26;8;430;0
01;2020-06-27;1;26;09
01;2020-06-27;0;15;19
01;2020-06-27;0;16;29
01;2020-06-27;0;25;39
01;2020-06-27;2;29;49
01;2020-06-27;2;24;59
01;2020-06-27;1;38;69
01;2020-06-27;0;20;79
01;2020-06-27;0;18;89
01;2020-06-27;0;11;90
01;2020-06-27;6;222;0
01;2020-06-28;0;3;09
01;2020-06-28;0;6;19
01;2020-06-28;0;3;29
01;2020-06-28;0;2;39
01;2020-06-28;0;4;49
01;2020-06-28;0;5;59
01;2020-06-28;0;6;69
01;2020-06-28;0;7;79
01;2020-06-28;0;9;89
01;2020-06-28;0;8;90
01;2020-06-28;0;53;0
01;2020-06-29;1;100;09
01;2020-06-29;1;60;19
01;2020-06-29;0;52;29
01;2020-06-29;3;75;39
01;2020-06-29;0;75;49
01;2020-06-29;0;63;59
01;2020-06-29;1;44;69
01;2020-06-29;0;49;79
01;2020-06-29;0;30;89
01;2020-06-29;0;14;90
01;2020-06-29;6;562;0
01;2020-06-30;0;75;09
01;2020-06-30;2;54;19
01;2020-06-30;1;64;29
01;2020-06-30;2;81;39
01;2020-06-30;1;65;49
01;2020-06-30;1;69;59
01;2020-06-30;0;43;69
01;2020-06-30;0;40;79
01;2020-06-30;0;23;89
01;2020-06-30;0;12;90
01;2020-06-30;8;528;0
01;2020-07-01;0;63;09
01;2020-07-01;1;59;19
01;2020-07-01;0;76;29
01;2020-07-01;0;76;39
01;2020-07-01;1;63;49
01;2020-07-01;0;46;59
01;2020-07-01;0;32;69
01;2020-07-01;0;27;79
01;2020-07-01;1;23;89
01;2020-07-01;0;6;90
01;2020-07-01;3;471;0
01;2020-07-02;0;112;09
01;2020-07-02;0;65;19
01;2020-07-02;0;52;29
01;2020-07-02;0;77;39
01;2020-07-02;0;64;49
01;2020-07-02;0;33;59
01;2020-07-02;0;37;69
01;2020-07-02;0;26;79
01;2020-07-02;0;18;89
01;2020-07-02;0;8;90
01;2020-07-02;0;492;0
01;2020-07-03;1;128;09
01;2020-07-03;0;100;19
01;2020-07-03;0;68;29
01;2020-07-03;0;63;39
01;2020-07-03;0;66;49
01;2020-07-03;1;75;59
01;2020-07-03;0;35;69
01;2020-07-03;0;42;79
01;2020-07-03;0;33;89
01;2020-07-03;1;12;90
01;2020-07-03;3;622;0
01;2020-07-04;0;53;09
01;2020-07-04;0;30;19
01;2020-07-04;0;24;29
01;2020-07-04;1;38;39
01;2020-07-04;0;23;49
01;2020-07-04;0;24;59
01;2020-07-04;0;20;69
01;2020-07-04;0;25;79
01;2020-07-04;0;20;89
01;2020-07-04;0;7;90
01;2020-07-04;1;264;0
01;2020-07-05;0;6;09
01;2020-07-05;0;1;19
01;2020-07-05;0;2;29
01;2020-07-05;0;5;39
01;2020-07-05;0;2;49
01;2020-07-05;0;6;59
01;2020-07-05;0;7;69
01;2020-07-05;0;2;79
01;2020-07-05;0;8;89
01;2020-07-05;0;3;90
01;2020-07-05;0;42;0
01;2020-07-06;0;88;09
01;2020-07-06;1;59;19
01;2020-07-06;0;54;29
01;2020-07-06;0;83;39
01;2020-07-06;0;77;49
01;2020-07-06;0;66;59
01;2020-07-06;0;63;69
01;2020-07-06;0;30;79
01;2020-07-06;1;30;89
01;2020-07-06;0;16;90
01;2020-07-06;2;566;0
01;2020-07-07;1;92;09
01;2020-07-07;1;53;19
01;2020-07-07;2;56;29
01;2020-07-07;0;85;39
01;2020-07-07;0;59;49
01;2020-07-07;0;57;59
01;2020-07-07;1;43;69
01;2020-07-07;0;32;79
01;2020-07-07;0;26;89
01;2020-07-07;0;8;90
01;2020-07-07;5;511;0
01;2020-07-08;0;94;09
01;2020-07-08;0;62;19
01;2020-07-08;0;99;29
01;2020-07-08;0;127;39
01;2020-07-08;2;72;49
01;2020-07-08;0;46;59
01;2020-07-08;0;38;69
01;2020-07-08;1;32;79
01;2020-07-08;0;16;89
01;2020-07-08;0;4;90
01;2020-07-08;3;590;0
01;2020-07-09;0;71;09
01;2020-07-09;0;49;19
01;2020-07-09;1;89;29
01;2020-07-09;1;116;39
01;2020-07-09;0;65;49
01;2020-07-09;1;60;59
01;2020-07-09;0;51;69
01;2020-07-09;0;33;79
01;2020-07-09;0;42;89
01;2020-07-09;0;31;90
01;2020-07-09;3;608;0
01;2020-07-10;0;109;09
01;2020-07-10;0;60;19
01;2020-07-10;1;65;29
01;2020-07-10;1;122;39
01;2020-07-10;0;87;49
01;2020-07-10;0;68;59
01;2020-07-10;1;64;69
01;2020-07-10;0;52;79
01;2020-07-10;0;44;89
01;2020-07-10;0;21;90
01;2020-07-10;3;692;0
01;2020-07-11;0;40;09
01;2020-07-11;0;31;19
01;2020-07-11;0;31;29
01;2020-07-11;0;36;39
01;2020-07-11;0;31;49
01;2020-07-11;0;24;59
01;2020-07-11;0;27;69
01;2020-07-11;0;21;79
01;2020-07-11;0;6;89
01;2020-07-11;0;9;90
01;2020-07-11;0;256;0
01;2020-07-12;0;3;09
01;2020-07-12;0;4;19
01;2020-07-12;0;3;29
01;2020-07-12;0;3;39
01;2020-07-12;0;2;49
01;2020-07-12;0;6;59
01;2020-07-12;0;8;69
01;2020-07-12;0;3;79
01;2020-07-12;1;8;89
01;2020-07-12;0;3;90
01;2020-07-12;1;43;0
02;2020-05-13;0;11;09
02;2020-05-13;0;9;19
02;2020-05-13;1;39;29
02;2020-05-13;3;46;39
02;2020-05-13;2;39;49
02;2020-05-13;1;37;59
02;2020-05-13;1;31;69
02;2020-05-13;2;25;79
02;2020-05-13;3;35;89
02;2020-05-13;1;24;90
02;2020-05-13;14;297;0
02;2020-05-14;0;6;09
02;2020-05-14;1;6;19
02;2020-05-14;2;51;29
02;2020-05-14;0;77;39
02;2020-05-14;2;87;49
02;2020-05-14;3;73;59
02;2020-05-14;1;57;69
02;2020-05-14;0;35;79
02;2020-05-14;4;70;89
02;2020-05-14;1;62;90
02;2020-05-14;15;526;0
02;2020-05-15;0;8;09
02;2020-05-15;1;18;19
02;2020-05-15;0;45;29
02;2020-05-15;0;44;39
02;2020-05-15;1;50;49
02;2020-05-15;1;53;59
02;2020-05-15;0;32;69
02;2020-05-15;2;24;79
02;2020-05-15;3;32;89
02;2020-05-15;3;25;90
02;2020-05-15;11;354;0
02;2020-05-16;0;2;09
02;2020-05-16;0;1;19
02;2020-05-16;0;8;29
02;2020-05-16;0;11;39
02;2020-05-16;0;15;49
02;2020-05-16;0;21;59
02;2020-05-16;0;18;69
02;2020-05-16;1;17;79
02;2020-05-16;4;36;89
02;2020-05-16;2;12;90
02;2020-05-16;7;141;0
02;2020-05-17;0;2;09
02;2020-05-17;0;2;19
02;2020-05-17;0;1;29
02;2020-05-17;0;1;39
02;2020-05-17;0;6;49
02;2020-05-17;0;5;59
02;2020-05-17;0;5;69
02;2020-05-17;0;9;79
02;2020-05-17;2;13;89
02;2020-05-17;0;12;90
02;2020-05-17;2;56;0
02;2020-05-18;0;8;09
02;2020-05-18;0;20;19
02;2020-05-18;1;43;29
02;2020-05-18;0;50;39
02;2020-05-18;2;55;49
02;2020-05-18;0;46;59
02;2020-05-18;2;33;69
02;2020-05-18;0;21;79
02;2020-05-18;1;24;89
02;2020-05-18;0;16;90
02;2020-05-18;6;316;0
02;2020-05-19;0;15;09
02;2020-05-19;0;9;19
02;2020-05-19;1;43;29
02;2020-05-19;0;38;39
02;2020-05-19;1;42;49
02;2020-05-19;3;50;59
02;2020-05-19;2;38;69
02;2020-05-19;1;17;79
02;2020-05-19;0;25;89
02;2020-05-19;0;4;90
02;2020-05-19;8;281;0
02;2020-05-20;0;10;09
02;2020-05-20;0;10;19
02;2020-05-20;2;31;29
02;2020-05-20;0;39;39
02;2020-05-20;4;37;49
02;2020-05-20;2;32;59
02;2020-05-20;2;25;69
02;2020-05-20;1;27;79
02;2020-05-20;3;23;89
02;2020-05-20;0;7;90
02;2020-05-20;14;241;0
02;2020-05-21;0;1;09
02;2020-05-21;0;2;19
02;2020-05-21;0;12;29
02;2020-05-21;0;23;39
02;2020-05-21;0;11;49
02;2020-05-21;0;10;59
02;2020-05-21;1;5;69
02;2020-05-21;0;3;79
02;2020-05-21;1;15;89
02;2020-05-21;0;6;90
02;2020-05-21;2;88;0
02;2020-05-22;0;12;09
02;2020-05-22;1;15;19
02;2020-05-22;0;31;29
02;2020-05-22;1;39;39
02;2020-05-22;0;45;49
02;2020-05-22;0;25;59
02;2020-05-22;1;30;69
02;2020-05-22;2;21;79
02;2020-05-22;3;36;89
02;2020-05-22;0;13;90
02;2020-05-22;8;267;0
02;2020-05-23;0;1;09
02;2020-05-23;0;0;19
02;2020-05-23;0;12;29
02;2020-05-23;0;14;39
02;2020-05-23;0;9;49
02;2020-05-23;1;9;59
02;2020-05-23;0;8;69
02;2020-05-23;0;8;79
02;2020-05-23;1;13;89
02;2020-05-23;0;8;90
02;2020-05-23;2;82;0
02;2020-05-24;0;0;09
02;2020-05-24;0;0;19
02;2020-05-24;0;1;29
02;2020-05-24;0;1;39
02;2020-05-24;0;0;49
02;2020-05-24;0;2;59
02;2020-05-24;0;2;69
02;2020-05-24;0;3;79
02;2020-05-24;0;3;89
02;2020-05-24;1;2;90
02;2020-05-24;1;14;0
02;2020-05-25;2;8;09
02;2020-05-25;0;14;19
02;2020-05-25;1;26;29
02;2020-05-25;2;35;39
02;2020-05-25;2;31;49
02;2020-05-25;1;31;59
02;2020-05-25;2;34;69
02;2020-05-25;1;20;79
02;2020-05-25;2;18;89
02;2020-05-25;3;11;90
02;2020-05-25;16;228;0
02;2020-05-26;0;4;09
02;2020-05-26;0;26;19
02;2020-05-26;0;44;29
02;2020-05-26;0;66;39
02;2020-05-26;1;68;49
02;2020-05-26;0;55;59
02;2020-05-26;3;49;69
02;2020-05-26;1;30;79
02;2020-05-26;2;20;89
02;2020-05-26;1;5;90
02;2020-05-26;8;367;0
02;2020-05-27;0;7;09
02;2020-05-27;0;8;19
02;2020-05-27;0;35;29
02;2020-05-27;1;45;39
02;2020-05-27;1;51;49
02;2020-05-27;0;55;59
02;2020-05-27;1;44;69
02;2020-05-27;0;36;79
02;2020-05-27;0;15;89
02;2020-05-27;1;8;90
02;2020-05-27;4;304;0
02;2020-05-28;0;8;09
02;2020-05-28;0;17;19
02;2020-05-28;2;41;29
02;2020-05-28;4;59;39
02;2020-05-28;0;59;49
02;2020-05-28;1;54;59
02;2020-05-28;1;45;69
02;2020-05-28;0;31;79
02;2020-05-28;2;24;89
02;2020-05-28;1;17;90
02;2020-05-28;11;356;0
02;2020-05-29;0;4;09
02;2020-05-29;0;18;19
02;2020-05-29;0;45;29
02;2020-05-29;0;45;39
02;2020-05-29;0;39;49
02;2020-05-29;0;37;59
02;2020-05-29;0;41;69
02;2020-05-29;1;42;79
02;2020-05-29;0;16;89
02;2020-05-29;0;5;90
02;2020-05-29;1;292;0
02;2020-05-30;0;0;09
02;2020-05-30;0;3;19
02;2020-05-30;0;10;29
02;2020-05-30;0;18;39
02;2020-05-30;0;18;49
02;2020-05-30;2;18;59
02;2020-05-30;1;14;69
02;2020-05-30;0;20;79
02;2020-05-30;0;10;89
02;2020-05-30;0;10;90
02;2020-05-30;3;121;0
02;2020-05-31;0;1;09
02;2020-05-31;0;0;19
02;2020-05-31;0;2;29
02;2020-05-31;0;2;39
02;2020-05-31;0;0;49
02;2020-05-31;0;3;59
02;2020-05-31;0;2;69
02;2020-05-31;0;3;79
02;2020-05-31;0;2;89
02;2020-05-31;0;0;90
02;2020-05-31;0;15;0
02;2020-06-01;0;0;09
02;2020-06-01;0;0;19
02;2020-06-01;0;0;29
02;2020-06-01;0;2;39
02;2020-06-01;0;1;49
02;2020-06-01;0;4;59
02;2020-06-01;0;3;69
02;2020-06-01;1;2;79
02;2020-06-01;1;3;89
02;2020-06-01;0;1;90
02;2020-06-01;2;16;0
02;2020-06-02;0;9;09
02;2020-06-02;0;9;19
02;2020-06-02;1;36;29
02;2020-06-02;1;32;39
02;2020-06-02;0;32;49
02;2020-06-02;1;33;59
02;2020-06-02;1;21;69
02;2020-06-02;0;22;79
02;2020-06-02;4;23;89
02;2020-06-02;0;17;90
02;2020-06-02;8;234;0
02;2020-06-03;0;8;09
02;2020-06-03;0;6;19
02;2020-06-03;2;24;29
02;2020-06-03;0;27;39
02;2020-06-03;0;32;49
02;2020-06-03;0;37;59
02;2020-06-03;2;32;69
02;2020-06-03;0;44;79
02;2020-06-03;0;21;89
02;2020-06-03;0;19;90
02;2020-06-03;4;250;0
02;2020-06-04;0;9;09
02;2020-06-04;0;15;19
02;2020-06-04;0;17;29
02;2020-06-04;2;28;39
02;2020-06-04;0;37;49
02;2020-06-04;0;35;59
02;2020-06-04;1;34;69
02;2020-06-04;0;31;79
02;2020-06-04;4;25;89
02;2020-06-04;1;9;90
02;2020-06-04;8;240;0
02;2020-06-05;0;10;09
02;2020-06-05;0;6;19
02;2020-06-05;0;20;29
02;2020-06-05;1;21;39
02;2020-06-05;0;39;49
02;2020-06-05;1;46;59
02;2020-06-05;0;39;69
